year,raceId,Total Problems,Engine,Aerodynamics,Transmission,Eletronics,Mechanical,Suspension and Direction,Fuel,Oil,Water,Wheel
1950,5852.0,59,27,0,11,0,1,1,2,15,1,1
1951,6628.0,72,42,0,12,6,3,0,2,6,0,1
1952,6564.0,65,28,0,17,4,3,4,1,6,0,2
1953,7308.0,93,38,0,24,5,7,3,6,6,0,4
1954,7227.0,81,34,0,15,1,5,7,8,7,0,4
1955,5565.0,62,18,0,23,1,1,3,10,5,0,1
1956,6300.0,68,27,1,16,3,2,7,6,5,0,1
1957,6236.0,57,23,1,8,1,6,5,4,5,2,2
1958,8470.0,76,42,0,14,1,3,7,7,2,0,0
1959,6840.0,58,23,0,20,2,7,1,1,3,0,1
1960,7505.0,74,35,1,24,2,4,4,4,0,0,0
1961,5932.0,60,33,1,5,6,1,4,3,5,0,2
1962,6597.0,51,12,0,14,4,2,8,4,5,0,2
1963,7235.0,78,21,1,25,8,3,6,4,7,1,2
1964,7135.0,73,31,0,13,6,4,9,5,3,0,2
1965,7035.0,73,20,0,16,13,3,6,6,6,2,1
1966,6246.0,68,24,0,13,8,5,6,6,6,0,0
1967,7524.0,85,44,0,11,6,2,9,6,6,1,0
1968,8070.0,102,31,2,22,9,1,8,13,12,2,2
1969,7271.0,72,21,1,18,5,1,9,9,7,1,0
1970,8437.0,114,61,0,11,6,6,9,8,10,1,2
1971,7007.0,81,36,0,10,6,1,11,8,7,0,2
1972,7506.0,88,27,0,19,6,1,14,13,7,1,0
1973,9180.0,100,29,1,24,6,3,13,13,8,0,3
1974,8955.0,121,39,2,23,6,9,24,14,3,1,0
1975,8155.0,83,30,1,17,4,4,12,10,2,0,3
1976,9080.0,107,33,0,20,9,5,15,10,12,2,1
1977,9367.0,119,56,0,23,9,1,9,16,2,0,3
1978,8552.0,103,45,1,26,2,2,8,11,5,0,3
1979,7785.0,120,50,1,22,8,3,23,8,0,2,3
1980,7063.0,102,38,1,27,5,3,19,4,0,0,5
1981,7350.0,95,32,0,20,8,5,17,9,2,1,1
1982,7592.0,124,47,4,17,12,9,16,14,2,2,1
1983,6885.0,134,68,0,22,12,4,12,6,4,2,4
1984,7096.0,171,86,1,24,23,5,4,20,4,2,2
1985,6840.0,152,87,0,22,13,8,5,11,4,1,1
1986,6584.0,181,93,1,34,20,4,10,14,0,1,4
1987,6328.0,177,88,0,30,24,6,10,12,1,2,4
1988,6072.0,150,69,8,26,12,8,14,11,1,0,1
1989,5816.0,141,53,1,38,22,5,11,7,1,0,3
1990,5256.0,132,53,2,33,12,12,8,4,2,1,5
1991,5000.0,144,71,1,41,8,2,5,8,5,0,3
1992,4744.0,134,64,1,44,6,9,5,4,0,0,1
1993,4488.0,109,38,0,33,5,4,17,8,1,0,3
1994,4232.0,117,57,1,32,11,2,5,2,4,1,2
1995,4216.0,113,32,0,45,13,4,6,6,3,1,3
1996,3704.0,79,35,1,15,8,7,8,2,1,0,2
1997,3655.0,94,46,1,22,9,4,6,3,0,1,2
1998,3176.0,81,30,1,33,3,7,5,1,0,0,1
1999,2920.0,102,23,1,41,6,13,8,6,1,0,3
2000,2822.0,87,33,0,21,12,9,6,3,2,0,1
2001,2533.0,98,34,0,26,7,11,8,7,4,1,0
2002,2244.0,104,45,4,19,5,19,7,2,1,0,2
2003,1848.0,78,26,0,14,8,8,8,12,2,0,0
2004,1773.0,52,21,1,17,3,6,3,0,0,0,1
2005,1520.0,39,12,0,5,4,11,3,2,0,0,2
2006,1107.0,67,16,1,16,4,18,6,1,2,2,1
2007,748.0,47,8,1,12,2,12,6,4,0,1,1
2008,477.0,31,14,0,8,1,6,2,0,0,0,0
2009,153.0,21,4,0,7,1,3,2,1,2,0,1
2010,6574.0,64,14,2,10,1,21,8,2,1,0,5
2011,16150.0,39,5,1,15,1,6,3,0,3,2,3
2012,17390.0,27,6,1,3,3,3,7,2,0,0,2
2013,16901.0,29,4,0,4,1,9,3,1,1,1,5
2014,17271.0,43,19,1,5,5,4,5,0,2,2,0
2015,17775.0,33,15,1,8,4,0,2,1,1,0,1
2016,20118.0,34,16,0,6,0,2,6,0,2,0,2
2017,19570.0,53,28,1,6,3,5,2,1,2,2,3
2018,20979.0,36,20,0,3,1,3,3,1,1,0,4
2019,21420.0,22,11,0,1,0,1,4,1,1,1,2
2020,17663.0,23,12,0,4,3,0,1,1,0,1,1
2021,23358.0,20,6,1,6,1,2,2,0,1,0,1
2022,23865.0,40,16,3,5,0,5,1,4,1,5,0
2023,24404.0,24,14,3,2,1,1,1,1,1,0,0
2024,13518.0,6,2,0,3,0,0,0,0,0,1,0
